# u |D(u)|
2.496406025376586013e-01 2.519241234923867223e-04
2.498781173823363955e-01 2.410276879339883611e-04
2.501156322270142174e-01 2.696648198305156207e-04
2.503531470716919838e-01 3.124732247354176278e-04
2.505906619163698057e-01 3.413160179597424541e-04
2.508281767610475721e-01 3.419654908290995421e-04
2.510656916057253385e-01 3.140815240908750449e-04
2.513032064504031604e-01 2.710774350902124953e-04
2.515407212950809268e-01 2.402847929540795737e-04
2.517782361397587487e-01 2.480076634742475598e-04
2.520157509844365151e-01 2.866361900765316607e-04
2.522532658291143370e-01 3.257115746255181878e-04
2.524907806737921034e-01 3.429398197452156682e-04
2.527282955184699254e-01 3.304072527883788893e-04
2.529658103631476918e-01 2.936560065800720401e-04
2.532033252078255137e-01 2.523357565079458213e-04
2.534408400525032801e-01 2.367638677855317701e-04
2.536783548971811020e-01 2.611081104180315105e-04
2.539158697418588684e-01 3.032649282491003354e-04
2.541533845865366903e-01 3.343769694023261511e-04
2.543908994312144567e-01 3.386731427936252870e-04
2.546284142758922231e-01 3.142065028369965757e-04
2.548659291205700450e-01 2.724845675874737407e-04
2.551034439652478114e-01 2.389966685327396924e-04
2.553409588099256333e-01 2.415624098197472727e-04
2.555784736546033997e-01 2.774390424723102667e-04
2.558159884992812216e-01 3.173304356894940306e-04
2.560535033439589880e-01 3.376029946281467148e-04
2.562910181886368099e-01 3.287945737523498128e-04
2.565285330333145764e-01 2.947539440871271344e-04
2.567660478779923983e-01 2.531089114413631277e-04
2.570035627226701647e-01 2.332527938204872987e-04
2.572410775673479866e-01 2.530624553674920563e-04
2.574785924120257530e-01 2.941521192181329770e-04
2.577161072567035749e-01 3.272403941377459500e-04
2.579536221013813413e-01 3.350459723485756406e-04
2.581911369460591077e-01 3.140551562345626009e-04
2.584286517907369296e-01 2.739473140865227659e-04
2.586661666354146960e-01 2.382998078420865771e-04
2.589036814800925179e-01 2.358195926731133723e-04
2.591411963247702843e-01 2.685562936844059856e-04
2.593787111694481062e-01 3.088951751752721858e-04
2.596162260141258726e-01 3.319877852982180597e-04
2.598537408588036945e-01 3.268464565058525366e-04
2.600912557034814609e-01 2.956849479309165384e-04
2.603287705481592829e-01 2.541704450822886933e-04
2.605662853928370493e-01 2.304664457961863686e-04
2.608038002375148712e-01 2.455639098034206099e-04
2.610413150821926376e-01 2.851713877725618068e-04
2.612788299268704595e-01 3.199310918982769354e-04
2.615163447715482259e-01 3.310933480586388455e-04
2.617538596162259923e-01 3.136116335959353643e-04
2.619913744609038142e-01 2.754102751033207872e-04
2.622288893055815806e-01 2.381274806502012048e-04
2.624664041502594025e-01 2.307890374185543277e-04
2.627039189949371689e-01 2.600281592161214996e-04
2.629414338396149908e-01 3.004372773707550772e-04
2.631789486842927572e-01 3.261127172417365274e-04
2.634164635289705791e-01 3.245627017682485745e-04
2.636539783736483455e-01 2.964172972834084934e-04
2.638914932183261675e-01 2.554507279729452190e-04
2.641290080630039339e-01 2.283676185627928285e-04
2.643665229076817558e-01 2.386453423201042050e-04
2.646040377523595222e-01 2.763602022157383119e-04
2.648415525970373441e-01 3.124749733621390215e-04
