# tau K_raw K_smooth K_GUE
3.902601734489660190e-01 2.338580821276595445e-01 4.018417243735917799e-01 3.902601734489660190e-01
3.922615076717811955e-01 8.873857261044985067e-01 3.961196886376094906e-01 3.922615076717811955e-01
3.942628418945964275e-01 7.679760401417796700e-01 3.850223777183167662e-01 3.942628418945964275e-01
3.962641761174116595e-01 5.869636382179940215e-01 3.967568234356467771e-01 3.962641761174116595e-01
3.982655103402268360e-01 1.139163701145139151e-02 3.804569194301910540e-01 3.982655103402268360e-01
4.002668445630420679e-01 1.191416465890033249e+00 3.795183891949050481e-01 4.002668445630420679e-01
4.022681787858572444e-01 2.735595187937385486e-02 3.799836987660630827e-01 4.022681787858572444e-01
4.042695130086724764e-01 2.181640936773142359e-01 3.858099370305144715e-01 4.042695130086724764e-01
4.062708472314877084e-01 4.342144236505754984e-01 3.903824379232900266e-01 4.062708472314877084e-01
4.082721814543028849e-01 2.164906303611104088e-01 4.009117708518056267e-01 4.082721814543028849e-01
4.102735156771181169e-01 8.236994141228641819e-01 3.825616384215789756e-01 4.102735156771181169e-01
4.122748498999333489e-01 2.264926018332640359e-02 3.781738845090162893e-01 4.122748498999333489e-01
4.142761841227485253e-01 8.558557400199212628e-01 3.983710309920085457e-01 4.142761841227485253e-01
4.162775183455637573e-01 7.613198440645337906e-01 4.078513793771809670e-01 4.162775183455637573e-01
4.182788525683789338e-01 9.095034424343577395e-02 4.251181374881301545e-01 4.182788525683789338e-01
4.202801867911941658e-01 2.428947533010324955e-01 4.275324580906803007e-01 4.202801867911941658e-01
4.222815210140093978e-01 2.245271298104619118e-01 4.265262180009121717e-01 4.222815210140093978e-01
4.242828552368245743e-01 8.913941222733084979e-01 4.322311943889477481e-01 4.242828552368245743e-01
